price_per_sqm,down_payment_pct,subcity,district,sqm,lon,lat,amenities_within_0.5km,amenities_within_1.0km,amenities_within_2.0km,amenities_within_3.0km,amenities_within_4.0km,amenities_within_5.0km,roads_within_0.5km,roads_within_1.0km,roads_within_2.0km,roads_within_3.0km,roads_within_4.0km,roads_within_5.0km,dist_to_meskel_km,dist_to_bole_km,neighborhood_cluster,amenity_diversity_2km
93460.0,40.0,Kolfe Keranyo,3.0,214.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
36100.0,100.0,Kolfe Keranyo,3.0,214.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
56545.0,61.0,Kolfe Keranyo,3.0,214.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
45800.0,100.0,Kolfe Keranyo,3.0,546.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
51999.0,52.0,Kolfe Keranyo,3.0,546.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
33000.0,100.0,Kolfe Keranyo,3.0,546.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
110000.0,100.0,Kolfe Keranyo,7.0,134.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
75000.0,100.0,Kolfe Keranyo,7.0,134.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
56101.0,100.0,Kolfe Keranyo,7.0,134.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
72500.0,100.0,Kolfe Keranyo,7.0,120.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
101023.0,50.0,Kolfe Keranyo,7.0,120.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
65600.0,100.0,Kolfe Keranyo,7.0,120.0,38.682952902214105,9.007266440069444,5,20,41,73,143,268,301.0,980.0,2790.0,4678.0,7413.0,10417.0,7.752207159766048,13.117666611593126,3,20
51857.0,100.0,Kolfe Keranyo,3.0,106.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
45100.0,90.0,Kolfe Keranyo,3.0,106.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
33100.0,100.0,Kolfe Keranyo,3.0,106.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
39125.0,100.0,Kolfe Keranyo,3.0,134.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
37857.0,100.0,Kolfe Keranyo,3.0,134.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
52001.0,40.0,Kolfe Keranyo,3.0,134.0,38.66448576228889,8.981861901777028,0,1,13,47,93,110,150.0,547.0,1683.0,3362.0,5418.0,7718.0,10.520148786680146,14.807531542598372,10,6
470422.54,40.0,Kirkos,2.0,213.0,38.76618095515892,8.993686014026173,22,111,450,993,1398,1844,172.0,586.0,2232.0,4209.0,7305.0,11370.0,3.2103289929036403,3.917706012093711,2,41
464788.73,40.0,Kirkos,2.0,213.0,38.76618095515892,8.993686014026173,22,111,450,993,1398,1844,172.0,586.0,2232.0,4209.0,7305.0,11370.0,3.2103289929036403,3.917706012093711,2,41
123123.0,100.0,Kirkos,2.0,213.0,38.76618095515892,8.993686014026173,22,111,450,993,1398,1844,172.0,586.0,2232.0,4209.0,7305.0,11370.0,3.2103289929036403,3.917706012093711,2,41
77355.0,61.0,Yeka,10.0,518.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
70209.99,56.0,Yeka,10.0,518.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
28889.0,100.0,Yeka,10.0,518.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
35488.0,90.0,Yeka,10.0,490.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
47770.0,50.0,Yeka,10.0,490.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
31200.0,100.0,Yeka,10.0,490.0,38.81551144932411,9.05976397126058,0,0,2,12,79,355,47.0,101.0,427.0,1076.0,2480.0,4902.0,8.259820379531071,8.980864821038413,8,2
55550.0,70.0,Gulele,7.0,288.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
63885.45,40.0,Gulele,7.0,288.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
35601.0,100.0,Gulele,7.0,288.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
100006.0,40.0,Gulele,7.0,131.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
45000.0,100.0,Gulele,7.0,131.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
35500.0,100.0,Gulele,7.0,131.0,38.73876325393147,9.070532817420135,2,9,41,162,313,615,181.0,563.0,1646.0,3095.0,4875.0,7364.0,5.9039090321500725,12.008239156826676,6,23
78830.0,100.0,Bole,12.0,444.0,38.80686784038126,8.956717827291401,0,1,23,51,222,556,24.0,122.0,568.0,1274.0,3146.0,5690.0,9.161099178853291,2.7826260888801313,5,6
107000.0,60.0,Bole,12.0,444.0,38.80686784038126,8.956717827291401,0,1,23,51,222,556,24.0,122.0,568.0,1274.0,3146.0,5690.0,9.161099178853291,2.7826260888801313,5,6
67568.0,100.0,Bole,12.0,444.0,38.80686784038126,8.956717827291401,0,1,23,51,222,556,24.0,122.0,568.0,1274.0,3146.0,5690.0,9.161099178853291,2.7826260888801313,5,6
181102.36,50.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
170500.0,52.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
103333.33,100.0,Lideta,4.0,127.0,38.73408832926543,9.016605708939036,28,70,354,710,1128,1443,202.0,697.0,2266.0,4654.0,8197.0,13163.0,2.0424529651821546,8.20505349040465,14,38
46000.0,100.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
51750.0,55.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
32000.0,100.0,Lideta,6.0,297.0,38.74385423627661,9.022709987875915,16,140,491,903,1248,1715,175.0,720.0,2316.0,4625.0,8259.0,12804.0,1.0265619200616296,7.681488766775965,2,48
70000.0,100.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
101998.99,40.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
33500.0,100.0,Lideta,10.0,199.0,38.73793230379948,9.0045317577699,8,117,360,658,1143,1571,128.0,481.0,2125.0,4507.0,8073.0,12578.0,2.2846922955148905,7.24621906365503,14,44
45600.0,75.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
35800.0,100.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
11200.0,100.0,Akaki Kality,4.0,406.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
40100.0,40.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
18150.0,100.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
16561.0,60.0,Akaki Kality,4.0,523.0,38.76162967755072,8.878099647196903,4,13,33,69,82,100,53.0,207.0,678.0,1438.0,2262.0,3466.0,15.721658669483254,12.12544200092115,7,15
49500.0,100.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
46392.0,100.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
75000.0,41.0,Akaki Kality,1.0,194.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
42151.0,100.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
20150.0,100.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
20850.0,81.0,Akaki Kality,1.0,233.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
51777.0,41.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
39000.0,75.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
29000.0,100.0,Akaki Kality,1.0,231.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
28570.0,100.0,Akaki Kality,1.0,229.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
32164.0,51.0,Akaki Kality,1.0,229.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
