price_per_sqm,down_payment_pct,subcity,district,sqm
45272.0,100.0,Kolfe Keranyo,5.0,272.0
40512.21,100.0,Kolfe Keranyo,5.0,272.0
40445.28,100.0,Kolfe Keranyo,5.0,272.0
36100.0,100.0,Kolfe Keranyo,3.0,234.0
30050.0,100.0,Kolfe Keranyo,3.0,234.0
26350.0,100.0,Kolfe Keranyo,3.0,234.0
36100.0,70.0,Kolfe Keranyo,3.0,146.0
18161.5,100.0,Kolfe Keranyo,3.0,146.0
17567.0,100.0,Kolfe Keranyo,3.0,146.0
51500.0,90.0,Kolfe Keranyo,3.0,136.0
27160.0,100.0,Kolfe Keranyo,3.0,136.0
25150.0,100.0,Kolfe Keranyo,3.0,136.0
56100.0,100.0,Kolfe Keranyo,3.0,83.0
54100.0,100.0,Kolfe Keranyo,3.0,83.0
45150.0,100.0,Kolfe Keranyo,3.0,83.0
41000.0,100.0,Kolfe Keranyo,11.0,183.0
31111.0,100.0,Kolfe Keranyo,11.0,183.0
31050.0,100.0,Kolfe Keranyo,11.0,183.0
24760.0,100.0,Yeka,10.0,281.0
19999.99,100.0,Yeka,10.0,281.0
12550.0,100.0,Yeka,10.0,281.0
31100.0,100.0,Akaki Kality,1.0,432.0
30127.0,80.0,Akaki Kality,1.0,432.0
25177.71,100.0,Akaki Kality,1.0,432.0
25000.6,100.0,Akaki Kality,1.0,429.0
23721.0,100.0,Akaki Kality,1.0,429.0
23350.0,100.0,Akaki Kality,1.0,429.0
45133.0,100.0,Akaki Kality,1.0,111.0
60000.0,60.0,Akaki Kality,1.0,111.0
37500.0,100.0,Akaki Kality,1.0,111.0
52221.19,100.0,Akaki Kality,1.0,110.0
72730.0,50.0,Akaki Kality,1.0,110.0
45012.0,100.0,Akaki Kality,1.0,110.0
38990.45,100.0,Akaki Kality,4.0,194.0
37621.0,100.0,Akaki Kality,4.0,194.0
40820.0,87.0,Akaki Kality,4.0,194.0
27850.0,100.0,Akaki Kality,4.0,322.0
25721.0,100.0,Akaki Kality,4.0,322.0
28200.0,80.0,Akaki Kality,4.0,322.0
42500.0,75.0,Akaki Kality,4.0,318.0
31978.78,100.0,Akaki Kality,4.0,318.0
29721.0,100.0,Akaki Kality,4.0,318.0
36558.0,100.0,Akaki Kality,2.0,757.0
35400.0,48.0,Akaki Kality,2.0,757.0
21677.0,100.0,Akaki Kality,2.0,757.0
38220.0,100.0,Akaki Kality,8.0,82.0
48781.0,60.0,Akaki Kality,8.0,82.0
32555.55,100.0,Akaki Kality,8.0,82.0
33226.0,100.0,Akaki Kality,8.0,105.0
31327.0,100.0,Akaki Kality,8.0,105.0
30150.0,100.0,Akaki Kality,8.0,105.0
43601.0,100.0,Akaki Kality,8.0,106.0
32120.0,100.0,Akaki Kality,8.0,106.0
31150.0,100.0,Akaki Kality,8.0,106.0
37721.0,100.0,Akaki Kality,8.0,105.0
32120.0,100.0,Akaki Kality,8.0,105.0
31770.0,100.0,Akaki Kality,8.0,105.0
43621.0,100.0,Akaki Kality,8.0,104.0
32120.0,100.0,Akaki Kality,8.0,104.0
31000.0,100.0,Akaki Kality,8.0,104.0
33621.0,100.0,Akaki Kality,8.0,105.0
32120.0,100.0,Akaki Kality,8.0,105.0
31200.0,100.0,Akaki Kality,8.0,105.0
42621.0,100.0,Akaki Kality,8.0,103.0
32099.0,100.0,Akaki Kality,8.0,103.0
28005.0,100.0,Akaki Kality,8.0,103.0
40621.0,100.0,Akaki Kality,8.0,111.0
57512.0,42.0,Akaki Kality,8.0,111.0
32700.0,100.0,Akaki Kality,8.0,111.0
41500.0,100.0,Akaki Kality,13.0,123.0
41200.0,100.0,Akaki Kality,13.0,123.0
40505.0,100.0,Akaki Kality,13.0,123.0
46150.0,100.0,Akaki Kality,13.0,93.0
35277.0,100.0,Akaki Kality,13.0,93.0
35000.0,100.0,Akaki Kality,13.0,93.0
43120.0,100.0,Akaki Kality,13.0,169.0
41721.0,100.0,Akaki Kality,13.0,169.0
36100.0,100.0,Akaki Kality,13.0,169.0
47503.0,100.0,Akaki Kality,13.0,75.0
43700.0,100.0,Akaki Kality,13.0,75.0
42000.0,100.0,Akaki Kality,13.0,75.0
47189.0,100.0,Akaki Kality,13.0,76.0
43512.12,100.0,Akaki Kality,13.0,76.0
42000.0,100.0,Akaki Kality,13.0,76.0
63100.0,70.0,Akaki Kality,13.0,76.0
47031.0,100.0,Akaki Kality,13.0,76.0
46100.0,100.0,Akaki Kality,13.0,76.0
47160.19,100.0,Akaki Kality,13.0,99.0
45523.05,100.0,Akaki Kality,13.0,99.0
41517.0,100.0,Akaki Kality,13.0,99.0
23721.0,80.0,Akaki Kality,13.0,749.0
19100.0,100.0,Akaki Kality,13.0,749.0
25050.0,60.0,Akaki Kality,13.0,749.0
32100.0,100.0,Akaki Kality,1.0,468.0
29721.0,100.0,Akaki Kality,1.0,468.0
27323.0,100.0,Akaki Kality,1.0,468.0
27616.0,100.0,Akaki Kality,2.0,232.0
25100.0,100.0,Akaki Kality,2.0,232.0
22200.0,100.0,Akaki Kality,2.0,232.0
35132.31,100.0,Akaki Kality,2.0,232.0
35111.0,80.0,Akaki Kality,2.0,232.0
27000.0,100.0,Akaki Kality,2.0,232.0
37890.0,100.0,Akaki Kality,2.0,233.0
29100.0,100.0,Akaki Kality,2.0,233.0
27921.0,100.0,Akaki Kality,2.0,233.0
28721.0,100.0,Akaki Kality,2.0,213.0
25150.0,100.0,Akaki Kality,2.0,213.0
17152.0,100.0,Akaki Kality,2.0,213.0
53629.0,100.0,Akaki Kality,1.0,88.0
47330.0,100.0,Akaki Kality,1.0,88.0
45520.0,100.0,Akaki Kality,1.0,88.0
48511.0,100.0,Akaki Kality,1.0,86.0
46770.0,100.0,Akaki Kality,1.0,86.0
45703.0,100.0,Akaki Kality,1.0,86.0
52500.0,100.0,Akaki Kality,1.0,86.0
52200.0,100.0,Akaki Kality,1.0,86.0
48200.0,100.0,Akaki Kality,1.0,86.0
53338.0,100.0,Akaki Kality,1.0,86.0
48200.0,100.0,Akaki Kality,1.0,86.0
47350.0,100.0,Akaki Kality,1.0,86.0
65855.0,100.0,Akaki Kality,1.0,87.0
63684.0,100.0,Akaki Kality,1.0,87.0
57477.77,100.0,Akaki Kality,1.0,87.0
67120.0,100.0,Akaki Kality,1.0,90.0
91330.0,40.0,Akaki Kality,1.0,90.0
48100.17,100.0,Akaki Kality,1.0,90.0
55999.0,100.0,Akaki Kality,1.0,90.0
48230.0,100.0,Akaki Kality,1.0,90.0
47778.0,100.0,Akaki Kality,1.0,90.0
64100.0,100.0,Akaki Kality,1.0,90.0
70000.0,60.0,Akaki Kality,1.0,90.0
51200.0,100.0,Akaki Kality,1.0,90.0
65000.0,100.0,Akaki Kality,1.0,90.0
47721.0,100.0,Akaki Kality,1.0,90.0
46481.0,100.0,Akaki Kality,1.0,90.0
50100.0,100.0,Akaki Kality,1.0,116.0
50001.5,100.0,Akaki Kality,1.0,116.0
42880.0,100.0,Akaki Kality,1.0,116.0
42580.0,100.0,Akaki Kality,13.0,167.0
38299.0,100.0,Akaki Kality,13.0,167.0
35330.0,100.0,Akaki Kality,13.0,167.0
46900.0,100.0,Akaki Kality,13.0,167.0
42900.0,100.0,Akaki Kality,13.0,167.0
42150.0,100.0,Akaki Kality,13.0,167.0
42880.0,100.0,Akaki Kality,13.0,186.0
40100.0,100.0,Akaki Kality,13.0,186.0
50102.25,70.0,Akaki Kality,13.0,186.0
40101.0,100.0,Akaki Kality,13.0,186.0
38890.0,100.0,Akaki Kality,13.0,186.0
38769.9,100.0,Akaki Kality,13.0,186.0
47812.0,100.0,Akaki Kality,13.0,167.0
42520.0,100.0,Akaki Kality,13.0,167.0
41500.0,100.0,Akaki Kality,13.0,167.0
42350.0,100.0,Akaki Kality,13.0,167.0
41688.0,100.0,Akaki Kality,13.0,167.0
41177.71,100.0,Akaki Kality,13.0,167.0
34100.0,100.0,Addis Ketema,11.0,214.0
23110.0,100.0,Addis Ketema,11.0,214.0
22000.0,100.0,Addis Ketema,11.0,214.0
61200.0,100.0,Gulele,7.0,132.0
57788.0,100.0,Gulele,7.0,132.0
83333.33,53.0,Gulele,7.0,132.0
50013.0,100.0,Gulele,7.0,187.0
49360.0,100.0,Gulele,7.0,187.0
48300.0,100.0,Gulele,7.0,187.0
57700.0,100.0,Gulele,7.0,185.0
51760.0,100.0,Gulele,7.0,185.0
50112.0,100.0,Gulele,7.0,185.0
82113.0,65.0,Gulele,7.0,140.0
62121.0,70.0,Gulele,7.0,140.0
43100.0,100.0,Gulele,7.0,140.0
71000.0,75.0,Gulele,7.0,172.0
54100.0,100.0,Gulele,7.0,172.0
47100.0,100.0,Gulele,7.0,172.0
71999.99,100.0,Gulele,7.0,171.0
55600.0,100.0,Gulele,7.0,171.0
62121.0,70.0,Gulele,7.0,171.0
90100.0,40.0,Gulele,7.0,137.0
52512.12,100.0,Gulele,7.0,137.0
47445.25,100.0,Gulele,7.0,137.0
54100.0,100.0,Gulele,7.0,175.0
45150.0,100.0,Gulele,7.0,175.0
37714.0,100.0,Gulele,7.0,175.0
51151.0,100.0,Gulele,7.0,176.0
62121.0,70.0,Gulele,7.0,176.0
49521.0,100.0,Gulele,7.0,176.0
60000.0,100.0,Nefas - Silk Lafto,13.0,129.0
59120.0,100.0,Nefas - Silk Lafto,13.0,129.0
58951.0,100.0,Nefas - Silk Lafto,13.0,129.0
65000.0,41.0,Nefas - Silk Lafto,15.0,957.0
24551.0,100.0,Nefas - Silk Lafto,15.0,957.0
21957.0,100.0,Nefas - Silk Lafto,15.0,957.0
60000.0,41.0,Nefas - Silk Lafto,15.0,906.0
27200.0,100.0,Nefas - Silk Lafto,15.0,906.0
26675.0,100.0,Nefas - Silk Lafto,15.0,906.0
31812.0,100.0,Nefas - Silk Lafto,15.0,906.0
28999.0,100.0,Nefas - Silk Lafto,15.0,906.0
28023.0,100.0,Nefas - Silk Lafto,15.0,906.0
42027.0,100.0,Nefas - Silk Lafto,15.0,641.0
32012.0,100.0,Nefas - Silk Lafto,15.0,641.0
28800.0,100.0,Nefas - Silk Lafto,15.0,641.0
41000.0,100.0,Nefas - Silk Lafto,15.0,1349.0
43100.0,70.0,Nefas - Silk Lafto,15.0,1349.0
22665.0,100.0,Nefas - Silk Lafto,15.0,1349.0
42000.0,100.0,Nefas - Silk Lafto,15.0,706.0
65000.0,41.0,Nefas - Silk Lafto,15.0,706.0
37777.77,100.0,Nefas - Silk Lafto,15.0,706.0
36880.0,100.0,Nefas - Silk Lafto,15.0,706.0
31075.0,100.0,Nefas - Silk Lafto,15.0,706.0
25300.0,100.0,Nefas - Silk Lafto,15.0,706.0
34500.0,100.0,Nefas - Silk Lafto,15.0,526.0
31800.0,100.0,Nefas - Silk Lafto,15.0,526.0
29775.0,100.0,Nefas - Silk Lafto,15.0,526.0
55200.0,100.0,Nefas - Silk Lafto,15.0,197.0
49705.5,100.0,Nefas - Silk Lafto,15.0,197.0
45120.0,100.0,Nefas - Silk Lafto,15.0,197.0
56001.0,100.0,Nefas - Silk Lafto,15.0,179.0
53231.0,100.0,Nefas - Silk Lafto,15.0,179.0
52350.0,100.0,Nefas - Silk Lafto,15.0,179.0
46775.0,100.0,Nefas - Silk Lafto,15.0,218.0
46331.0,100.0,Nefas - Silk Lafto,15.0,218.0
46212.0,100.0,Nefas - Silk Lafto,15.0,218.0
57748.55,100.0,Nefas - Silk Lafto,15.0,225.0
54160.0,100.0,Nefas - Silk Lafto,15.0,225.0
53333.33,100.0,Nefas - Silk Lafto,15.0,225.0
52100.0,100.0,Nefas - Silk Lafto,15.0,225.0
