price_per_sqm,down_payment_pct,subcity,district,sqm
93460.0,40.0,Kolfe Keranyo,3.0,214.0
36100.0,100.0,Kolfe Keranyo,3.0,214.0
56545.0,61.0,Kolfe Keranyo,3.0,214.0
45800.0,100.0,Kolfe Keranyo,3.0,546.0
51999.0,52.0,Kolfe Keranyo,3.0,546.0
33000.0,100.0,Kolfe Keranyo,3.0,546.0
110000.0,100.0,Kolfe Keranyo,7.0,134.0
75000.0,100.0,Kolfe Keranyo,7.0,134.0
56101.0,100.0,Kolfe Keranyo,7.0,134.0
72500.0,100.0,Kolfe Keranyo,7.0,120.0
101023.0,50.0,Kolfe Keranyo,7.0,120.0
65600.0,100.0,Kolfe Keranyo,7.0,120.0
51857.0,100.0,Kolfe Keranyo,3.0,106.0
45100.0,90.0,Kolfe Keranyo,3.0,106.0
33100.0,100.0,Kolfe Keranyo,3.0,106.0
39125.0,100.0,Kolfe Keranyo,3.0,134.0
37857.0,100.0,Kolfe Keranyo,3.0,134.0
52001.0,40.0,Kolfe Keranyo,3.0,134.0
470422.54,40.0,Kirkos,2.0,213.0
464788.73,40.0,Kirkos,2.0,213.0
123123.0,100.0,Kirkos,2.0,213.0
77355.0,61.0,Yeka,10.0,518.0
70209.99,56.0,Yeka,10.0,518.0
28889.0,100.0,Yeka,10.0,518.0
35488.0,90.0,Yeka,10.0,490.0
47770.0,50.0,Yeka,10.0,490.0
31200.0,100.0,Yeka,10.0,490.0
55550.0,70.0,Gulele,7.0,288.0
63885.45,40.0,Gulele,7.0,288.0
35601.0,100.0,Gulele,7.0,288.0
100006.0,40.0,Gulele,7.0,131.0
45000.0,100.0,Gulele,7.0,131.0
35500.0,100.0,Gulele,7.0,131.0
78830.0,100.0,Bole,12.0,444.0
107000.0,60.0,Bole,12.0,444.0
67568.0,100.0,Bole,12.0,444.0
181102.36,50.0,Lideta,4.0,127.0
170500.0,52.0,Lideta,4.0,127.0
103333.33,100.0,Lideta,4.0,127.0
46000.0,100.0,Lideta,6.0,297.0
51750.0,55.0,Lideta,6.0,297.0
32000.0,100.0,Lideta,6.0,297.0
70000.0,100.0,Lideta,10.0,199.0
101998.99,40.0,Lideta,10.0,199.0
33500.0,100.0,Lideta,10.0,199.0
45600.0,75.0,Akaki Kality,4.0,406.0
35800.0,100.0,Akaki Kality,4.0,406.0
11200.0,100.0,Akaki Kality,4.0,406.0
40100.0,40.0,Akaki Kality,4.0,523.0
18150.0,100.0,Akaki Kality,4.0,523.0
16561.0,60.0,Akaki Kality,4.0,523.0
49500.0,100.0,Akaki Kality,1.0,194.0
46392.0,100.0,Akaki Kality,1.0,194.0
75000.0,41.0,Akaki Kality,1.0,194.0
42151.0,100.0,Akaki Kality,1.0,233.0
20150.0,100.0,Akaki Kality,1.0,233.0
20850.0,81.0,Akaki Kality,1.0,233.0
51777.0,41.0,Akaki Kality,1.0,231.0
39000.0,75.0,Akaki Kality,1.0,231.0
29000.0,100.0,Akaki Kality,1.0,231.0
28570.0,100.0,Akaki Kality,1.0,229.0
32164.0,51.0,Akaki Kality,1.0,229.0
26900.0,60.0,Akaki Kality,1.0,229.0
37001.0,100.0,Akaki Kality,1.0,282.0
51100.0,40.0,Akaki Kality,1.0,282.0
29000.0,100.0,Akaki Kality,1.0,282.0
50550.0,70.0,Akaki Kality,1.0,282.0
34230.0,100.0,Akaki Kality,1.0,282.0
44680.85,65.08,Akaki Kality,1.0,282.0
61490.0,60.0,Akaki Kality,1.0,235.0
40500.0,100.0,Akaki Kality,1.0,235.0
36421.2,100.0,Akaki Kality,1.0,235.0
38500.0,75.0,Akaki Kality,1.0,235.0
21800.0,100.0,Akaki Kality,1.0,235.0
25744.4,83.0,Akaki Kality,1.0,235.0
45700.0,40.0,Akaki Kality,1.0,235.0
27005.0,100.0,Akaki Kality,1.0,235.0
22100.0,100.0,Akaki Kality,1.0,235.0
51000.0,50.0,Akaki Kality,1.0,244.0
23800.0,100.0,Akaki Kality,1.0,244.0
23000.0,100.0,Akaki Kality,1.0,244.0
61990.0,40.0,Akaki Kality,1.0,245.0
32333.0,100.0,Akaki Kality,1.0,245.0
22200.0,100.0,Akaki Kality,1.0,245.0
64400.0,89.0,Akaki Kality,1.0,500.0
56099.0,100.0,Akaki Kality,1.0,500.0
43000.0,100.0,Akaki Kality,1.0,500.0
60400.0,95.0,Akaki Kality,1.0,500.0
56400.0,66.0,Akaki Kality,1.0,500.0
42000.0,100.0,Akaki Kality,1.0,500.0
53963.0,100.0,Akaki Kality,1.0,500.0
56300.0,93.07,Akaki Kality,1.0,500.0
56200.0,63.0,Akaki Kality,1.0,500.0
51999.0,100.0,Akaki Kality,1.0,500.0
56300.0,64.0,Akaki Kality,1.0,500.0
33689.0,100.0,Akaki Kality,1.0,500.0
43680.0,100.0,Akaki Kality,1.0,245.0
43265.3,77.36,Akaki Kality,1.0,245.0
45099.0,43.0,Akaki Kality,1.0,245.0
31199.5,100.0,Akaki Kality,1.0,246.0
27350.0,100.0,Akaki Kality,1.0,246.0
41275.9,46.0,Akaki Kality,1.0,246.0
27512.0,40.0,Akaki Kality,1.0,247.0
12999.9,70.0,Akaki Kality,1.0,247.0
6005.0,40.0,Akaki Kality,1.0,247.0
25505.0,100.0,Akaki Kality,1.0,247.0
22600.0,100.0,Akaki Kality,1.0,247.0
22500.0,70.0,Akaki Kality,1.0,247.0
87000.0,40.0,Akaki Kality,1.0,248.0
38450.0,100.0,Akaki Kality,1.0,248.0
25505.0,100.0,Akaki Kality,1.0,248.0
70000.0,42.0,Akaki Kality,1.0,250.0
40125.0,100.0,Akaki Kality,1.0,250.0
40100.0,100.0,Akaki Kality,1.0,250.0
55820.28,60.0,Akaki Kality,1.0,500.0
30200.0,100.0,Akaki Kality,1.0,500.0
28111.0,100.0,Akaki Kality,1.0,500.0
52200.0,78.16,Akaki Kality,1.0,500.0
62100.0,40.0,Akaki Kality,1.0,500.0
55930.2,50.0,Akaki Kality,1.0,500.0
311000.0,100.0,Arada,1.0,977.0
350000.0,50.0,Arada,1.0,977.0
125150.0,100.0,Arada,1.0,977.0
153847.0,100.0,Arada,1.0,650.0
212000.0,40.0,Arada,1.0,650.0
112000.0,100.0,Arada,1.0,650.0
240000.0,50.0,Arada,1.0,789.0
253500.0,40.0,Arada,1.0,789.0
141200.0,100.0,Arada,1.0,789.0
298511.0,51.0,Arada,1.0,723.0
138330.0,100.0,Arada,1.0,723.0
195024.0,40.0,Arada,1.0,723.0
128000.0,50.0,Arada,5.0,2179.0
100500.0,50.0,Arada,5.0,2179.0
80000.0,60.0,Arada,5.0,2179.0
70900.0,100.0,Arada,5.0,2064.0
47500.0,40.0,Arada,5.0,2064.0
43500.0,40.0,Arada,5.0,2064.0
89963.0,100.0,Arada,5.0,1819.0
43900.0,80.0,Arada,5.0,1819.0
52022.0,42.0,Arada,5.0,1819.0
125500.0,50.0,Arada,5.0,1994.0
83000.0,100.0,Arada,5.0,1994.0
80000.0,100.0,Arada,5.0,1994.0
119000.0,40.0,Arada,5.0,1293.0
52020.0,55.0,Arada,5.0,1293.0
6003.12,40.0,Arada,5.0,1293.0
127777.0,40.0,Arada,5.0,1273.0
50100.0,100.0,Arada,5.0,1273.0
40500.0,100.0,Arada,5.0,1273.0
125927.13,50.0,Arada,5.0,729.0
62010.0,100.0,Arada,5.0,729.0
102656.0,40.0,Arada,5.0,729.0
121513.0,100.0,Arada,1.0,907.0
113456.23,100.0,Arada,1.0,907.0
131000.0,50.0,Arada,1.0,907.0
213000.0,40.0,Arada,1.0,1400.0
91200.0,100.0,Arada,1.0,1400.0
57200.0,100.0,Arada,1.0,1400.0
264000.0,40.0,Arada,1.0,1384.0
116000.0,100.0,Arada,1.0,1384.0
86800.0,100.0,Arada,1.0,1384.0
266000.0,40.0,Arada,1.0,951.0
91600.0,100.0,Arada,1.0,951.0
87791.69,100.0,Arada,1.0,951.0
263000.0,40.0,Arada,1.0,942.0
131515.0,100.0,Arada,1.0,942.0
123422.59,100.0,Arada,1.0,942.0
330000.0,40.0,Arada,1.0,1891.0
